Case;VehCat;Year;TrafficScenario;Component;RoadCat;AmbientCondPattern;IDSubsegment;Subsegment;Technology;SizeClasse;EmConcept;KM;%OfSubsegment;%OfEmConcept;EFA;EFA_weighted;EFA_km;EFA_km_weighted;EFA_WTT;EFA_WTT_km;EFA_WTW;EFA_WTW_km
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,0-1h,0-1km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;;1.504108787;0.280542612;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,0-1h,0-1km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;;0.06391263;0.280542612;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,1-2h,0-1km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;;3.80033493;0.698604047;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,1-2h,0-1km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;;0.102527231;0.698604047;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,2-3h,0-1km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;;4.817775726;0.883359611;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,2-3h,0-1km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;;0.115779079;0.883359611;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,3-4h,0-1km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;;5.503298759;1.009465933;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,3-4h,0-1km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;;0.129198804;1.009465933;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,4-5h,0-1km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;;5.99436903;1.100004673;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,4-5h,0-1km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;;0.139172167;1.100004673;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,5-6h,0-1km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;;6.294672966;1.155112267;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,5-6h,0-1km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;;0.14614436;1.155112267;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,6-7h,0-1km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;;6.594976902;1.21021986;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,6-7h,0-1km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;;0.153116569;1.21021986;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,7-8h,0-1km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;;6.895280838;1.265327454;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,7-8h,0-1km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;;0.160088763;1.265327454;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,8-9h,0-1km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;;7.195584774;1.320434928;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,8-9h,0-1km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;;0.167060971;1.320434928;;;;;;
