Case;VehCat;Year;TrafficScenario;Component;RoadCat;AmbientCondPattern;EFA_weighted;EFA_km_weighted
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;TØ,0-1h,0-1km;0.99;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;TØ,1-2h,0-1km;2.97;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;TØ,2-3h,0-1km;4.95;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;TØ,3-4h,0-1km;6.93;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;TØ,4-5h,0-1km;8.91;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;TØ,5-6h,0-1km;10.90;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;TØ,6-7h,0-1km;12.88;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;TØ,7-8h,0-1km;14.86;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;TØ,8-9h,0-1km;16.84;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;TØ,9-10h,0-1km;18.82;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;TØ,10-11h,0-1km;20.81;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;TØ,11-12h,0-1km;22.79;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;TØ,>12h,0-1km;23.79;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;TØ,0-1h,1-2km;2.33;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;TØ,1-2h,1-2km;7.01;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;TØ,2-3h,1-2km;11.68;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;TØ,3-4h,1-2km;16.36;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;TØ,4-5h,1-2km;21.03;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;TØ,5-6h,1-2km;25.71;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;TØ,6-7h,1-2km;30.38;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;TØ,7-8h,1-2km;35.06;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;TØ,8-9h,1-2km;39.74;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;TØ,9-10h,1-2km;44.41;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;TØ,10-11h,1-2km;49.09;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;TØ,11-12h,1-2km;53.76;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);FC;Urban;TØ,>12h,1-2km;56.12;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;TØ,0-1h,0-1km;2.19;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;TØ,1-2h,0-1km;2.33;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;TØ,2-3h,0-1km;2.47;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;TØ,3-4h,0-1km;2.61;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;TØ,4-5h,0-1km;2.74;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;TØ,5-6h,0-1km;2.88;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;TØ,6-7h,0-1km;3.02;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;TØ,7-8h,0-1km;3.16;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;TØ,8-9h,0-1km;3.30;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;TØ,9-10h,0-1km;3.43;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;TØ,10-11h,0-1km;3.57;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;TØ,11-12h,0-1km;3.71;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;TØ,>12h,0-1km;3.78;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;TØ,0-1h,1-2km;2.36;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;TØ,1-2h,1-2km;2.51;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;TØ,2-3h,1-2km;2.66;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;TØ,3-4h,1-2km;2.81;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;TØ,4-5h,1-2km;2.96;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;TØ,5-6h,1-2km;3.11;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;TØ,6-7h,1-2km;3.25;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;TØ,7-8h,1-2km;3.40;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;TØ,8-9h,1-2km;3.55;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;TØ,9-10h,1-2km;3.70;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;TØ,10-11h,1-2km;3.85;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;TØ,11-12h,1-2km;4.00;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);HC;Urban;TØ,>12h,1-2km;4.07;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;TØ,0-1h,0-1km;9.66;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;TØ,1-2h,0-1km;10.56;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;TØ,2-3h,0-1km;11.46;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;TØ,3-4h,0-1km;12.36;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;TØ,4-5h,0-1km;13.25;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;TØ,5-6h,0-1km;14.15;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;TØ,6-7h,0-1km;15.05;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;TØ,7-8h,0-1km;15.95;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;TØ,8-9h,0-1km;16.84;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;TØ,9-10h,0-1km;17.74;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;TØ,10-11h,0-1km;18.64;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;TØ,11-12h,0-1km;19.54;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;TØ,>12h,0-1km;19.99;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;TØ,0-1h,1-2km;10.91;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;TØ,1-2h,1-2km;11.92;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;TØ,2-3h,1-2km;12.93;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;TØ,3-4h,1-2km;13.95;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;TØ,4-5h,1-2km;14.96;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;TØ,5-6h,1-2km;15.98;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;TØ,6-7h,1-2km;16.99;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;TØ,7-8h,1-2km;18.00;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;TØ,8-9h,1-2km;19.02;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;TØ,9-10h,1-2km;20.03;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;TØ,10-11h,1-2km;21.04;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;TØ,11-12h,1-2km;22.06;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);CO;Urban;TØ,>12h,1-2km;22.56;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NO2;Urban;TØ,0-1h,0-1km;5.6452127173543e-03;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NO2;Urban;TØ,1-2h,0-1km;5.408083088696e-03;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NO2;Urban;TØ,2-3h,0-1km;5.16806449741125e-03;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NO2;Urban;TØ,3-4h,0-1km;4.925103392452e-03;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NO2;Urban;TØ,4-5h,0-1km;4.67915320768952e-03;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NO2;Urban;TØ,5-6h,0-1km;4.43015201017261e-03;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NO2;Urban;TØ,6-7h,0-1km;4.17804718017578e-03;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NO2;Urban;TØ,7-8h,0-1km;3.92277631908655e-03;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NO2;Urban;TØ,8-9h,0-1km;3.66428098641336e-03;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NO2;Urban;TØ,9-10h,0-1km;3.40250413864851e-03;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NO2;Urban;TØ,10-11h,0-1km;3.1373742967844e-03;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NO2;Urban;TØ,11-12h,0-1km;2.86883278749883e-03;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NO2;Urban;TØ,>12h,0-1km;2.73337378166616e-03;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NO2;Urban;TØ,0-1h,1-2km;0.01;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NO2;Urban;TØ,1-2h,1-2km;0.01;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NO2;Urban;TØ,2-3h,1-2km;0.01;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NO2;Urban;TØ,3-4h,1-2km;0.01;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NO2;Urban;TØ,4-5h,1-2km;0.01;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NO2;Urban;TØ,5-6h,1-2km;0.01;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NO2;Urban;TØ,6-7h,1-2km;0.01;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NO2;Urban;TØ,7-8h,1-2km;0.01;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NO2;Urban;TØ,8-9h,1-2km;9.95054375380278e-03;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NO2;Urban;TØ,9-10h,1-2km;9.22685582190752e-03;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NO2;Urban;TØ,10-11h,1-2km;8.49486980587244e-03;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NO2;Urban;TØ,11-12h,1-2km;7.75445345789194e-03;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NO2;Urban;TØ,>12h,1-2km;7.38129951059818e-03;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NOx;Urban;TØ,0-1h,0-1km;0.46;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NOx;Urban;TØ,1-2h,0-1km;0.45;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NOx;Urban;TØ,2-3h,0-1km;0.44;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NOx;Urban;TØ,3-4h,0-1km;0.43;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NOx;Urban;TØ,4-5h,0-1km;0.41;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NOx;Urban;TØ,5-6h,0-1km;0.40;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NOx;Urban;TØ,6-7h,0-1km;0.39;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NOx;Urban;TØ,7-8h,0-1km;0.38;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NOx;Urban;TØ,8-9h,0-1km;0.37;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NOx;Urban;TØ,9-10h,0-1km;0.36;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NOx;Urban;TØ,10-11h,0-1km;0.35;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NOx;Urban;TØ,11-12h,0-1km;0.33;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NOx;Urban;TØ,>12h,0-1km;0.33;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NOx;Urban;TØ,0-1h,1-2km;0.81;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NOx;Urban;TØ,1-2h,1-2km;0.79;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NOx;Urban;TØ,2-3h,1-2km;0.77;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NOx;Urban;TØ,3-4h,1-2km;0.74;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NOx;Urban;TØ,4-5h,1-2km;0.72;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NOx;Urban;TØ,5-6h,1-2km;0.70;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NOx;Urban;TØ,6-7h,1-2km;0.68;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NOx;Urban;TØ,7-8h,1-2km;0.65;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NOx;Urban;TØ,8-9h,1-2km;0.63;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NOx;Urban;TØ,9-10h,1-2km;0.61;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NOx;Urban;TØ,10-11h,1-2km;0.59;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NOx;Urban;TØ,11-12h,1-2km;0.57;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);NOx;Urban;TØ,>12h,1-2km;0.55;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);PM;Urban;TØ,0-1h,0-1km;3.55342356488109e-03;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);PM;Urban;TØ,1-2h,0-1km;3.85183398611844e-03;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);PM;Urban;TØ,2-3h,0-1km;4.16246568784118e-03;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);PM;Urban;TØ,3-4h,0-1km;4.48608212172985e-03;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);PM;Urban;TØ,4-5h,0-1km;4.82351519167423e-03;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);PM;Urban;TØ,5-6h,0-1km;5.17566641792655e-03;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);PM;Urban;TØ,6-7h,0-1km;5.54352113977075e-03;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);PM;Urban;TØ,7-8h,0-1km;5.92814804986119e-03;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);PM;Urban;TØ,8-9h,0-1km;6.33072247728705e-03;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);PM;Urban;TØ,9-10h,0-1km;6.75252405926585e-03;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);PM;Urban;TØ,10-11h,0-1km;7.19496561214328e-03;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);PM;Urban;TØ,11-12h,0-1km;7.65959452837706e-03;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);PM;Urban;TØ,>12h,0-1km;7.89998099207878e-03;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);PM;Urban;TØ,0-1h,1-2km;9.93735529482365e-03;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);PM;Urban;TØ,1-2h,1-2km;0.01;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);PM;Urban;TØ,2-3h,1-2km;0.01;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);PM;Urban;TØ,3-4h,1-2km;0.01;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);PM;Urban;TØ,4-5h,1-2km;0.01;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);PM;Urban;TØ,5-6h,1-2km;0.01;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);PM;Urban;TØ,6-7h,1-2km;0.01;
2005ColdAverage[3.1];pass. car;2005;"BAU" (D);PM;Urban;TØ,7-8h,1-2km;0.01;
