age,income,economic_status,employment,car_avail,bike_avail,pt_abo_avail,dist_group,main_mode,share
,,,,,,,0 - 1000,bike,0.03993953574665
,,,,,,,0 - 1000,car,0.010077686113465548
,,,,,,,0 - 1000,pt,0.0035575461836548946
,,,,,,,0 - 1000,ride,0.0037969819009802397
,,,,,,,0 - 1000,walk,0.22881070677001764
,,,,,,,1000 - 2000,bike,0.04698342341346555
,,,,,,,1000 - 2000,car,0.023147292190076742
,,,,,,,1000 - 2000,pt,0.02007970854535886
,,,,,,,1000 - 2000,ride,0.010215459406613094
,,,,,,,1000 - 2000,walk,0.05220619945665914
,,,,,,,2000 - 5000,bike,0.05624516000252578
,,,,,,,2000 - 5000,car,0.05164117094781402
,,,,,,,2000 - 5000,pt,0.07035847284671681
,,,,,,,2000 - 5000,ride,0.019753111426262702
,,,,,,,2000 - 5000,walk,0.013501281662145714
,,,,,,,5000 - 10000,bike,0.02693069701653698
,,,,,,,5000 - 10000,car,0.05215320525856776
,,,,,,,5000 - 10000,pt,0.08244750747280563
,,,,,,,5000 - 10000,ride,0.01397122077983446
,,,,,,,5000 - 10000,walk,0.001517535520605139
,,,,,,,10000 - 20000,bike,0.007136782872703979
,,,,,,,10000 - 20000,car,0.04134445948649564
,,,,,,,10000 - 20000,pt,0.06385899348452925
,,,,,,,10000 - 20000,ride,0.007926042173942492
,,,,,,,10000 - 20000,walk,0.0005273153061550004
,,,,,,,20000+,bike,0.0006419443250597948
,,,,,,,20000+,car,0.022309302342807483
,,,,,,,20000+,pt,0.024771142628339887
,,,,,,,20000+,ride,0.003944497517436229
,,,,,,,20000+,walk,0.00020561720177352156
0 - 12,,,,,,,0 - 1000,bike,0.08835438432558193
0 - 12,,,,,,,0 - 1000,car,3.432121636877185e-05
0 - 12,,,,,,,0 - 1000,pt,0.0021749863020563654
0 - 12,,,,,,,0 - 1000,ride,0.021051200382818012
0 - 12,,,,,,,0 - 1000,walk,0.3432142504695775
0 - 12,,,,,,,1000 - 2000,bike,0.08398330004325194
0 - 12,,,,,,,1000 - 2000,car,0.000150219687811569
0 - 12,,,,,,,1000 - 2000,pt,0.02306959433284934
0 - 12,,,,,,,1000 - 2000,ride,0.05686810841448048
0 - 12,,,,,,,1000 - 2000,walk,0.07347412145528517
0 - 12,,,,,,,2000 - 5000,bike,0.04222757075895274
0 - 12,,,,,,,2000 - 5000,car,6.536048317715672e-05
0 - 12,,,,,,,2000 - 5000,pt,0.05396978017600571
0 - 12,,,,,,,2000 - 5000,ride,0.08856585531656834
0 - 12,,,,,,,2000 - 5000,walk,0.008408652825927461
0 - 12,,,,,,,5000 - 10000,bike,0.0038947116326784196
0 - 12,,,,,,,5000 - 10000,car,5.599841436553611e-05
0 - 12,,,,,,,5000 - 10000,pt,0.02794477835232046
0 - 12,,,,,,,5000 - 10000,ride,0.04558406298643193
0 - 12,,,,,,,5000 - 10000,walk,0.0009301529133672708
0 - 12,,,,,,,10000 - 20000,bike,7.862395528391248e-05
0 - 12,,,,,,,10000 - 20000,car,0.0
0 - 12,,,,,,,10000 - 20000,pt,0.007770578530816594
0 - 12,,,,,,,10000 - 20000,ride,0.019094169122247644
0 - 12,,,,,,,10000 - 20000,walk,0.0004190229166182497
0 - 12,,,,,,,20000+,bike,3.432121636877185e-05
0 - 12,,,,,,,20000+,car,0.0
0 - 12,,,,,,,20000+,pt,0.0031358547205645646
0 - 12,,,,,,,20000+,ride,0.00513600585361295
0 - 12,,,,,,,20000+,walk,0.00031001319461127424
12 - 18,,,,,,,0 - 1000,bike,0.04056261263021194
12 - 18,,,,,,,0 - 1000,car,0.0
12 - 18,,,,,,,0 - 1000,pt,0.00548858580569948
12 - 18,,,,,,,0 - 1000,ride,0.0022302160066904092
12 - 18,,,,,,,0 - 1000,walk,0.15042303841024
12 - 18,,,,,,,1000 - 2000,bike,0.089070390956725
12 - 18,,,,,,,1000 - 2000,car,0.0
12 - 18,,,,,,,1000 - 2000,pt,0.03153953270294178
12 - 18,,,,,,,1000 - 2000,ride,0.008413705601187106
12 - 18,,,,,,,1000 - 2000,walk,0.044861543643076415
12 - 18,,,,,,,2000 - 5000,bike,0.10738683499133322
12 - 18,,,,,,,2000 - 5000,car,0.0002828962673402461
12 - 18,,,,,,,2000 - 5000,pt,0.19825020985446604
12 - 18,,,,,,,2000 - 5000,ride,0.032263789775858934
12 - 18,,,,,,,2000 - 5000,walk,0.007541953274485525
12 - 18,,,,,,,5000 - 10000,bike,0.013960272491340344
12 - 18,,,,,,,5000 - 10000,car,0.0002828962673402461
